TextBlob_Analysis BI,TextBlob_Polarity BI,TextBlob_Subjectivity BI,TextBlob_Subjectivity TIn,TextBlob_Polarity TIn,TextBlob_Analysis TIn,TextBlob_Polarity BIM,TextBlob_Subjectivity BIM,TextBlob_Analysis BIM,TextBlob_Subjectivity TIm,TextBlob_Polarity TIm,TextBlob_Analysis TIm
Positive,0.044837023,0.438122209,0.500036075,0.131262431,Positive,-0.010159632,0.44884431,Negative,0.422587302,0.115190476,Positive
Negative,-0.014596273,0.423110766,0.278046812,-0.096085553,Negative,-0.08190288,0.545296129,Negative,0.486742424,0.068371212,Positive
Positive,0.093204121,0.367221442,0.502941845,0.046940046,Positive,-0.192566445,0.465143965,Negative,0.467224231,0.117224231,Positive
Positive,0.009762807,0.430734929,0.431165607,0.102531546,Positive,0.087337662,0.507683983,Positive,0.553125,0.254545455,Positive
Negative,-3.36572e-4,0.438014645,0.325850529,0.0286413,Positive,-0.075180375,0.414556277,Negative,0.511259196,0.143281263,Positive
Positive,0.081755732,0.468922402,0.218707483,-0.124489796,Negative,0.033333333,0.383333333,Positive,0.513433878,0.144308581,Positive
Positive,0.015594612,0.387715347,0.448523046,0.102513846,Positive,-0.00141208,0.507211326,Negative,0.435080396,0.106733148,Positive
Positive,0.076699134,0.411536797,0.482766154,0.188765031,Positive,-0.01976323,0.437014091,Negative,0.43708134,0.047248804,Positive
Positive,0.084280303,0.487000197,0.454173051,0.174014113,Positive,0.049992487,0.420144837,Positive,0.508333333,0.111160714,Positive
Positive,0.050030804,0.449327261,0.623701299,0.032792208,Positive,-0.092778434,0.551944116,Negative,0.462488291,0.051608504,Positive
Negative,-0.075640244,0.392106078,0.52797619,0.284112554,Positive,-0.108854167,0.447693452,Negative,0.387883833,-0.005329267,Negative
Positive,0.066130221,0.441398249,0.375,0,Neutral,0.16572477,0.468939958,Positive,0.507142857,-0.087723214,Negative
Positive,0.157928666,0.440197001,0.457488708,-0.002713358,Negative,-0.047263258,0.421446158,Negative,0.497605781,0.167882279,Positive
Positive,0.088569212,0.499433231,0.432954545,0.173494995,Positive,8.99636e-4,0.46663301,Positive,0.482952259,0.025036583,Positive
Positive,0.070451436,0.487700279,0.389103535,0.087897727,Positive,0.077073076,0.49531489,Positive,0.511271877,0.055516012000000003,Positive
Negative,-0.027410808,0.483894051,0.593415638,0.100411523,Positive,0.097759594,0.524321848,Positive,0.493708514,0.075625159,Positive
Positive,0.055289155,0.440814278,0.4922608,0.059965545,Positive,0.073685265,0.507409634,Positive,0.512666442,0.243458647,Positive
Negative,-0.104018308,0.430517677,0.464827436,0.118953692,Positive,0.08445301,0.496635658,Positive,0.422932449,-0.006818182,Negative
Negative,-0.10984127,0.514371693,0.461665099,0.110172645,Positive,-0.063945578,0.62414966,Negative,0.582353757,0.11006607,Positive
Negative,-0.057908324,0.321712662,0.353333333,-0.003333333,Negative,-0.250021959,0.539968003,Negative,0.470375533,0.0992685,Positive
Positive,0.107142857,0.361011905,0.473363095,-0.004166667,Negative,-0.001480051,0.36106821099999997,Negative,0.428048341,0.100941851,Positive
Positive,0.137412587,0.277272727,0.433043514,0.104076723,Positive,-0.075357143,0.456090226,Negative,0.496000409,-0.015848679,Negative
Positive,0.053774351,0.341180942,0.481558749,0.122104403,Positive,-0.253174603,0.491269841,Negative,0.492023118,0.099342904,Positive
Negative,-0.074255952,0.451339286,0.449367121,0.063638565,Positive,-0.24829932,0.656462585,Negative,0.557932195,0.010190217,Positive
Positive,0.202743902,0.443689508,0.283825944,-0.011986864,Negative,-0.226666667,0.588888889,Negative,0.466723356,0.003231293,Positive
Negative,-0.03702234,0.561493239,0.5775,0.023541667,Positive,0.208163265,0.481632653,Positive,0.472825397,0.053272487,Positive
Positive,0.082340136,0.501095238,0.565501724,0.252868668,Positive,0.023469388,0.420975057,Positive,0.543398003,0.104116712,Positive
Positive,0.252142857,0.374642857,0.356564427,0.082903173,Positive,0,0,Neutral,0.465183845,0.050836672,Positive
Positive,0.092443482,0.457282949,0.322226874,0.074502544,Positive,0,0,Neutral,0.52027417,0.143759019,Positive
Positive,0.070640757,0.500633573,0.415699405,-0.018675595,Negative,0.366145833,0.534722222,Positive,0.521568627,0.039705882,Positive
Positive,0.152541106,0.464568721,0.417276394,0.03308244,Positive,-0.018513431,0.466468254,Negative,0.424410942,0.045847578,Positive
Positive,0.058675689,0.411882974,0.473687334,0.186618489,Positive,0.024848485,0.340606061,Positive,0.475611293,0.076736755,Positive
Positive,0.225,0.466666667,0.444751082,0.126499441,Positive,0.013644689,0.481593407,Positive,0.480482541,0.09808642,Positive
Negative,-0.030409524,0.353457143,0.394337401,0.055346787,Positive,0.151067802,0.489132537,Positive,0.351738473,0.092630385,Positive
Positive,0.124686647,0.473055806,0.477872604,0.108763142,Positive,-0.107352941,0.29894958,Negative,0.506761297,0.163754219,Positive
Positive,0.080508475,0.379731638,0,0,Neutral,0.080820106,0.535449735,Positive,0.465343915,0.264550265,Positive
Positive,0.07558527,0.422531866,0.37309314,0.09467899,Positive,0.008333333,0.383333333,Positive,0.564377289,0.091071429,Positive
Positive,0.005407913,0.534219188,0.445595209,0.033914365,Positive,0.211457518,0.541364158,Positive,0.68529341,0.387241462,Positive
Positive,0.068958667,0.390187837,0.281786635,0.041028139,Positive,0.285714286,0.369047619,Positive,0.49406845,0.053717006,Positive
Negative,-0.037777778,0.470185185,0.388888889,-0.388888889,Negative,0.133333333,0.486666667,Positive,0.508653993,0.026530226,Positive
Positive,0.008090037,0.444097956,0.396175595,0.167276786,Positive,0.25,0.55625,Positive,0.56322244,0.113426677,Positive
Positive,0.112188209,0.327387251,0.435606272,0.139064412,Positive,-0.122857143,0.587142857,Negative,0.388542569,0.121673882,Positive
Positive,0.038521768,0.48143154,0.324305835,0.083013078,Positive,0.01404321,0.464351852,Positive,0.376655329,0.122210884,Positive
Positive,0.030089897,0.442564219,0.428844697,0.081055581,Positive,0.020618523,0.430681272,Positive,0.455055103,0.03219697,Positive
Positive,0.048039451,0.530273977,0.472875609,0.0501383,Positive,0,0,Neutral,0.470450211,0.110817058,Positive
Negative,-0.116329966,0.485690236,0.406829954,0.091846612,Positive,-0.038933983,0.385308442,Negative,0.492129804,0.202861229,Positive
Positive,5.49e-5,0.453432118,0.454249348,0.049922846,Positive,0,0,Neutral,0.437450992,0.145422554,Positive
Negative,-0.014705882,0.366666667,0.375517598,0.04989648,Positive,0.00719697,0.410795455,Positive,0.347916667,-0.125,Negative
Positive,0.112901335,0.433050746,0.450594656,0.104398827,Positive,0.021325052,0.448498965,Positive,0.4625,0.3625,Positive
Positive,0.081900039,0.337352224,0.413095238,0.174458874,Positive,-0.216071429,0.658928571,Negative,0.419407407,0.064296296,Positive
Positive,0.165322414,0.361321962,0.51,0.068552769,Positive,0.031578947,0.393859649,Positive,0.594444444,-0.266666667,Negative
Positive,0.224583333,0.518472222,0.36595267,0.02817215,Positive,0.152272727,0.460606061,Positive,0.405426716,0.043800247,Positive
Positive,0.050439227,0.415475691,0.47864025,0.073171321,Positive,0.147272727,0.290909091,Positive,0.58953824,-0.029329004,Negative
Positive,0.093242798,0.445556437,0.310454545,0.003636364,Positive,0.127116756,0.418248663,Positive,0.444468494,0.044669913,Positive
Positive,0.110466437,0.456370584,0.336271499,0.036343161,Positive,0.004487179,0.443589744,Positive,0.518516988,0.119297521,Positive
Positive,0.023479695,0.394034735,0.41714702,0.120640748,Positive,-0.007142857,0.414285714,Negative,0.44659131,0.088301467,Positive
Negative,-0.006363636,0.435762987,0.346746483,0.136868687,Positive,0.165714286,0.647857143,Positive,0.302083333,0.160416667,Positive
Positive,0.079338843,0.428099174,0.451268115,0.030143393,Positive,0.017016439,0.487730919,Positive,0.577191142,0.231054779,Positive
Positive,0.102188552,0.262674363,0.451835312,0.16350474,Positive,0.092433955,0.518462093,Positive,0.5,0.2,Positive
Negative,-0.023892774,0.378263403,0.388687515,0.072442172,Positive,-0.093571429,0.377797619,Negative,0.397068265,-0.048926407,Negative
Negative,-0.047924901,0.525007058,0.353125,-0.103125,Negative,-0.4,0.4,Negative,0.453274814,0.098056146,Positive
Positive,0.063055556,0.417222222,0.418594827,0.127964441,Positive,0.118836088,0.356439394,Positive,0.524180244,0.144262298,Positive
Positive,0.081465517,0.388793103,0.516166667,-0.017681818,Negative,-0.074188312,0.437711941,Negative,0.524739312,0.215509501,Positive
Positive,0.046287879,0.331191077,0.373220113,0.094900932,Positive,0.107509158,0.398168498,Positive,0.433363902,0.053639382,Positive
Negative,-0.001439164,0.416882541,0.400430261,0.042118045,Positive,-0.101851852,0.477777778,Negative,0.444590758,0.248712499,Positive
Positive,0.1203125,0.4421875,0.509393939,0.120984848,Positive,0.169959235,0.450623377,Positive,0.446938776,0.003287982,Positive
